Unnamed: 0,ShortName,RegionName,FullName,WebSite,PathToSoft
0,РУАН ИМЕНИ Г.Б. МИРЗОЕВА,г. Москва,"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ВЫСШЕГО ОБРАЗОВАНИЯ ""РОССИЙСКИЙ УНИВЕРСИТЕТ АДВОКАТУРЫ И НОТАРИАТА ИМЕНИ Г.Б. МИРЗОЕВА""",https://raa.ru/,https://raa.ru/sveden/files/Informatika_UPPO_LR.pdf
1,АНО ВО «НАЦИОНАЛЬНЫЙ ИНСТИТУТ ДИЗАЙНА»,г. Москва,АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ВЫСШЕГО ОБРАЗОВАНИЯ «НАЦИОНАЛЬНЫЙ ИНСТИТУТ ДИЗАЙНА»,https://nid-design.org/,https://nid-design.org/informatsiya-o-realizuemykh-obrazovatel-nykh-programmakh.html
2,"АНОО ВО «Воронежский экономико-правовой институт», АНОО ВО «ВЭПИ», ВЭПИ",Воронежская область,Автономная некоммерческая образовательная организация высшего образования «Воронежский экономико-правовой институт»,https://vepi.ru/,https://vepi.ru/wp-content/uploads/upfiles/sveden/education/t10/tb5_23-24/09.03.03_pi/d/FOS_b1.v.08_09.03.03-pi-110401_26.09.2023.pdf
3,АНООВО «ЕУСПб»,г. Санкт-Петербург,Автономная некоммерческая образовательная организация высшего образования «Европейский университет в Санкт-Петербурге»,https://eusp.org/,https://eusp.org/sveden/files/Opisanie_PPK_Soc._issled._polyzovateley(1).pdf
4,АНООВО «КИУ»,Калининградская область,Автономная некоммерческая образовательная организация высшего образования «Калининградский институт управления»,https://kiu39.ru/,https://kiu39.ru/_doc/OPOP-KKU/05. 38.02.03 - Операционная деятельность в логистике/2. Очная форма обучения (11 кл.)/3. Рабочие программы дисциплин/ЕН.02 Информационные технологии в профдеятельности.pdf
5,Международный институт компьютерных технологий,Воронежская область,Автономная некоммерческая образовательная организация высшего образования «Международный институт компьютерных технологий»,https://www.iict.ru/,https://www.iict.ru/abitur/19-образовательные-программы/204-09-03-01
6,АНООВО «ПССИ»,Московская область,Автономная некоммерческая образовательная организация высшего образования «Подольский социально-спортивный институт»,https://www.podolsk-ssi.ru/,https://www.podolsk-ssi.ru/sveden/index.html
7,"АНОО ВО ""СИБИТ""",Омская область,Автономная некоммерческая образовательная организация высшего образования «Сибирский институт бизнеса и информационных технологий»,https://sibit.sano.ru/,https://sibit.sano.ru/sveden/files/001806.pdf
8,Сколковский институт науки и технологий,Московская область,Автономная некоммерческая образовательная организация высшего образования «Сколковский институт науки и технологий»,http://www.skoltech.ru/,https://www.skoltech.ru/ofis-transfera-znaniy/programmnoe-obespechenie/
9,Российский университет кооперации,Московская область,Автономная некоммерческая образовательная организация высшего образования Центросоюза Российской Федерации «Российский университет кооперации»,https://www.ruc.su/,https://www.ruc.su/upload/documents/education/spo/prikladnaya-inform/ПИ 2017 учебная практика ПМ 02.pdf
10,АНО ООВО «ИТИ»,г. Москва,Автономная некоммерческая организация «Образовательная организация высшего образования «Институт театрального искусства»,https://mos-iti.ru/,http://mos-iti.ru/images/pdf/edu/pologenie_o_praktike.pdf
11,АНО «ООВО» «УЭУ»,Республика Крым,Автономная некоммерческая организация «Образовательная организация высшего образования» «Университет экономики и управления»,http://ueu.crimea.ru/,http://ueu.crimea.ru/sveden/files/B1.V.DV.06.01_Professionalynye_kompyyuternye_programmy.pdf
12,АНО ВО «ИДК»,г. Москва,Автономная некоммерческая организация Высшего Образования «Институт деловой карьеры»,https://www.ideka.ru/,https://www.ideka.ru/sveden/objects
13,ИМЭС,г. Москва,Автономная некоммерческая организация высшего образования  «Институт международных экономических связей»,https://imes.su/,https://imes.su/press-tsentr/blog/item/1890-kto-takoy-programmist-chem-on-zanimaetsya-i-skolko-poluchaet
14,АНО ВО «Институт экономики и управления в промышленности»,г. Москва,Автономная некоммерческая организация высшего образования «Институт экономики и управления в промышленности»,https://ineup.ru/,https://www.ineup.ru/sveden/files/Programma_podgotovki_publikaciy.pdf
15,Университет БРИКС,г. Москва,"Автономная некоммерческая организация высшего образования ""Университет БРИКС (ЮниБРИКС)""",https://юнибрикс.рф/,
16,"АНО ВО ""УИФР""",Свердловская область,"Автономная некоммерческая организация высшего образования ""Уральский институт фондового рынка""",https://uifr.ru/,https://uifr.ru/sveden/files/RP_PrPrakt_UCHR_2023.pdf
17,АНО ВО «АКАДЕМИЯ СОЦИАЛЬНОГО ОБРАЗОВАНИЯ»,Республика Татарстан (Татарстан),Автономная некоммерческая организация высшего образования «АКАДЕМИЯ СОЦИАЛЬНОГО ОБРАЗОВАНИЯ»,https://aso-ksui.ru/,
18,"АНО ВО «Белгородский университет кооперации, экономики и права»; Белгородский университет кооперации, экономики и права; БУКЭП",Белгородская область,"Автономная некоммерческая организация высшего образования «Белгородский университет кооперации, экономики и права»",https://www.bukep.ru/,https://www.bukep.ru/1562/35/chairs/99
19,АНО «Высшая школа сценических искусств»,г. Москва,Автономная некоммерческая организация высшего образования «Высшая школа сценических искусств»,https://www.raikin-school.com/,http://www.raikin-school.com/sveden/objects/
20,АНО ВО «Гуманитарный университет»,Свердловская область,Автономная некоммерческая организация высшего образования «Гуманитарный университет»,https://gu-ural.ru/,https://gu-ural.ru/uploads/2022/06/Kompyuternaya-grafika.pdf.sig
21,АНО ВО «Институт бизнеса и дизайна»,г. Москва,Автономная некоммерческая организация высшего образования «Институт бизнеса и дизайна»,https://obe.ru/,https://obe.ru/sveden/files/B1.V.DV.05.01_Proektirovanie_interfeysov.pdf
22,АНО ВО «ИГУМО и ИТ»,г. Москва,Автономная некоммерческая организация высшего образования «Институт гуманитарного образования и информационных технологий»,https://igumo.ru/,https://igumo.ru/upload/medialibrary/f6f/f6f7ee790fb55925191e9ba2baf4f5af.pdf
23,АНО ВО ГИТР,г. Москва,Автономная некоммерческая организация высшего образования «Институт кино и телевидения (ГИТР)»,https://gitr.ru/,https://gitr.ru/data/prog/zvuk/uchoznzvuk.pdf
24,АНО ВО «ИНО»,г. Москва,Автономная некоммерческая организация высшего образования «Институт непрерывного образования»,http://www.7480040.ru/,http://www.7480040.ru/sveden/files/03_Rabota_s_orgtexnikoy.pdf
25,АНО ВО «Институт современного искусства»,г. Москва,Автономная некоммерческая организация высшего образования «Институт современного искусства»,https://www.isi-vuz.ru/,https://www.isi-vuz.ru/sveden/eduStandarts/
26,АНО ВО «Институт стран Востока»,г. Москва,Автономная некоммерческая организация высшего образования «Институт стран Востока»,http://www.orun.ru/,http://www.orun.ru/upload/documents/practice04.pdf
27,АНО ВО «КИФЭИ»,Республика Татарстан (Татарстан),"Автономная некоммерческая организация высшего образования «Казанский институт финансов, экономики и информатики»",https://www.kifei.ru/,https://www.kifei.ru/sveden/files/RPD_RAZRABOTKA_PROGRAMMNYX_PRILOGHENIY_ECP.pdf
28,"АНОВО «МОСКОВСКИЙ МЕЖДУНАРОДНЫЙ УНИВЕРСИТЕТ», МОСКОВСКИЙ МЕЖДУНАРОДНЫЙ УНИВЕРСИТЕТ, МЕЖДУНАРОДНЫЙ УНИВЕРСИТЕТ В МОСКВЕ, ММУ, МУМ",г. Москва,Автономная некоммерческая организация высшего образования «МОСКОВСКИЙ МЕЖДУНАРОДНЫЙ УНИВЕРСИТЕТ»,https://mi.university/,https://mi.university/sveden/files/education/090207/program/2024/04.pdf
29,АНО ВО «МАБиУ»,г. Москва,Автономная некоммерческая организация высшего образования «Международная академия бизнеса и управления»,https://mabiu.ru/,https://mabiu.ru/sveden/education-metod-docs
30,АНО ВО «МБИ имени Анатолия Собчака»,г. Санкт-Петербург,Автономная некоммерческая организация высшего образования «Международный банковский институт имени Анатолия Собчака»,https://www.ibispb.ru/,https://www.ibispb.ru/
31,АНО ВО «МИУП»,Тверская область,Автономная некоммерческая организация высшего образования «Международный институт управления и права»,http://миуп.рф/,
32,"АНО ВО МОСИ, АНО ВО «Межрегиональный открытый социальный институт»",Республика Марий Эл,Автономная некоммерческая организация высшего образования «Межрегиональный открытый социальный институт»,https://mosi.ru/,http://mosi.ru/sites/default/files/1/1a/list_sdo_23.pdf
33,Институт МИРБИС,г. Москва,Автономная некоммерческая организация высшего образования «Московская международная высшая школа бизнеса «МИРБИС» (Институт),http://mirbis.ru,https://mirbis.ru/growthhacker/system-analysis-360h/
34,АНО ВО «Московский гуманитарный университет» или «Московский гуманитарный университет» или АНО ВО «МосГУ» или «МосГУ»,г. Москва,Автономная некоммерческая организация высшего образования «Московский гуманитарный университет»,https://mosgu.ru/,https://journals.mosgu.ru/ggz/article/viewFile/1662/2009
35,АНО ВО «МИСАО»,г. Москва,Автономная некоммерческая организация высшего образования «Московский институт современного академического образования»,https://misaoinst.ru/,https://misaoinst.ru/spo/courses/informacionnye-sistemy-i-programmirovanie/rpd
36,МИТУ - МАСИ; Московский информационно-технологический университет - Московский архитектурно-строительный институт; МИТУ; МАСИ,г. Москва,Автономная некоммерческая организация высшего образования «Московский информационно-технологический университет - Московский архитектурно-строительный институт»,https://masi.ru/,https://masi.ru/courses/
37,Московский региональный социально-экономический институт (МРСЭИ),Московская область,Автономная некоммерческая организация высшего образования «Московский региональный социально-экономический институт»,http://www.mrsei.ru/,http://www.mrsei.ru/sveden/files/B1.B.33_Psixodiagnostika.pdf
38,АНО ВО «Научно-клинический центр имени Башларова»,Республика Дагестан,Автономная некоммерческая организация высшего образования «Научно-клинический центр имени Башларова»,https://bashlarov-vuz.ru/,https://bashlarov-vuz.ru/documents/o_sred_obuch_bosp_ovz.signed.pdf
39,АНО ВО «Национальный институт бизнеса»,г. Москва,Автономная некоммерческая организация высшего образования «Национальный институт бизнеса»,https://nibmoscow.ru/,https://nibmoscow.ru/abitur/bachelor/
40,АНОВО «НОИ СПб»,г. Санкт-Петербург,Автономная некоммерческая организация высшего образования «Национальный открытый институт г.Санкт-Петербург»,https://noironline.ru/,https://noironline.ru/institut/эиос/
41,Поволжская академия Святителя Алексия,Самарская область,"Автономная некоммерческая организация высшего образования «Поволжская академия образования и искусств имени Святителя Алексия, митрополита Московского»",http://pravinst.ru/,https://new.pravinst.ru/sveden/education/metod/ГИА_ИТ.pdf
42,"АНО ВО «Российский новый университет», АНО ВО ""РОСНОУ""",г. Москва,Автономная некоммерческая организация высшего образования «Российский новый университет»,http://rosnou.ru/,https://rosnou.ru/direction/matematicheskoe-obespechenie-i-administrirovanie-informacionnyh-sistem/
43,АНО ВО «РПУ св. Иоанна Богослова»,г. Москва,Автономная некоммерческая организация высшего образования «Российский православный университет святого Иоанна Богослова»,http://rpusib.ru/,http://rpusib.ru/sveden/files/Polozhenie_ob_organizacii_i_primenenii_elektronnogo_obucheniya_i_distancionnyh_obrazovatelnyh_tekhnologij_pri_realizacii_OP.pdf(1)(8).sig
44,"АНО ВО «РХГА», РХГА , Академия Достоевского",г. Санкт-Петербург,Автономная некоммерческая организация высшего образования «Русская христианская гуманитарная академия им Ф.М. Достоевского»,https://rhga.ru/,
45,АНО ВО «СЮА»,г. Санкт-Петербург,Автономная некоммерческая организация высшего образования «Санкт-Петербургская юридическая академия»,https://jurac.ru,http://it.jurac.ru/files/objects/1_mag_GP_MAT-TEH.pdf
46,СКСИ,Ставропольский край,Автономная некоммерческая организация высшего образования «Северо-Кавказский социальный институт»,https://sksi.ru/,https://docs.sksi.ru/education/09.02.07/Программист/очная/на базе среднего общего образования/Программы практик/2021/09.02.07 - УП ПМ 03 2023_3г10м ПРОГРАММИСТ_подписано.pdf
47,АНО ВО СИБУП,Красноярский край,"Автономная некоммерческая организация высшего образования «Сибирский институт бизнеса, управления и психологии»",http://www.sibup.ru/,
48,"АНОВО Славяно-Греко-Латинская Академия, Славяно-Греко-Латинская Академия, АНОВО СГЛА, СГЛА",г. Москва,Автономная некоммерческая организация высшего образования «Славяно-Греко-Латинская Академия»,https://sgla.ru/,https://sgla.ru/sveden/files/programma_pedagogicheskoy_praktiki.doc
49,Современный технический университет,Рязанская область,Автономная некоммерческая организация высшего образования «Современный технический университет»,http://www.stirzn.ru/,http://www.stirzn.ru/
50,АНО ВО «Университет Иннополис»,Республика Татарстан (Татарстан),Автономная некоммерческая организация высшего образования «Университет Иннополис»,https://innopolis.university/,https://eduwiki.innopolis.university/index.php/BSc:_AlgorithmsAndAlgorithmicLanguages
51,"АНО ВО ""Университет мировых цивилизаций им. В.В. Жириновского"", АНО ВО ""УМЦ им. В.В. Жириновского"", АНО ВО ""УМЦ"", УМЦ",г. Москва,Автономная некоммерческая организация высшего образования «Университет мировых цивилизаций имени В.В. Жириновского»,http://imc-i.ru/,http://imc-i.ru/userfiles/ufiles/OOP_540401o_21.pdf
52,АНО ВО «Университет при МПА ЕврАзЭС»,г. Санкт-Петербург,Автономная некоммерческая организация высшего образования «Университет при Межпарламентской Ассамблее ЕврАзЭС»,https://www.miep.edu.ru/,https://www.miep.edu.ru/directions/software_engineering/
53,АНО ВО УрУ-УИЭУиП,Свердловская область,"Автономная некоммерческая организация высшего образования «Уральский университет-Уральский институт экономики, управления и права»",https://www.urep.ru/,http://www.urep.ru/index.php?option=com_content&view=article&id=1918:090415&catid=124:realorbpr&lang=ru&Itemid=91
54,"АНО ВО ""ВХУТЕИН""",г. Санкт-Петербург,Автономная некоммерческая организация высшего образования «ХУДОЖЕСТВЕННО-ТЕХНИЧЕСКИЙ ИНСТИТУТ»,https://www.vhutein.ru/,https://www.vhutein.ru/about_the_university/departments/it/
55,АНО ВО Институт современного образования и информационных технологий,г. Москва,Автономная некоммерческая организация высшего образования Институт современного образования и информационных технологий,https://imeit.ru/,https://imeit.ru/programmy-obucheniya/
56,АНО ВО МГЭУ,г. Москва,Автономная некоммерческая организация высшего образования Московский гуманитарно-экономический университет,http://mgei.ru,https://mgei.ru/distantsionnoe-obuchenie/
57,"АНО ВО Университет ""МИР""",Самарская область,"Автономная некоммерческая организация высшего образования Самарский университет государственного управления ""Международный институт рынка""",https://www.imi-samara.ru/,https://www.imi-samara.ru/wp-content/uploads/2021/04/Pologenie-o-prakticheskoy-podgotovke.pdf
58,АОУ ВО ЛО «ГИЭФПТ»,Ленинградская область,"Автономное образовательное учреждение высшего образования Ленинградской области «Государственный институт экономики, финансов, права и технологий»",http://gief.ru/,https://www.gief.ru/sveden/files/000288.pdf
59,"МФЮА, Московский финансово-юридический университет МФЮА",г. Москва,Аккредитованное образовательное частное учреждение высшего образования «Московский финансово-юридический университет МФЮА»,https://www.mfua.ru/,https://www.mfua.ru/abitur/aspirant/abiturs/2.3.5.-matematicheskoe-i-programmnoe-obespechenie-vychislitelynyh-sistem-kompleksov-i-kompyyuternyh-setey_527.html
60,АЧОУ ВО «ИУБиП» (г. Пятигорск),Ставропольский край,"Аккредитованное частное образовательное учреждение высшего образования «Институт Управления, Бизнеса и Права» (г. Пятигорск)",http://www.piubp.ru/,http://www.piubp.ru/piubip/umo/reglaments/polojhenie_ob_organizacii_obr_processaa_dlya_invalidov.pdf
61,БОУ ВО «ЧГИКИ» Минкультуры Чувашии,Чувашская Республика - Чувашия,"Бюджетное образовательное учреждение высшего образования Чувашской Республики  «Чувашский государственный институт культуры и искусств» Министерства культуры, по делам национальностей и архивного дела Чувашской Республики",http://chgiki.ru/abitur/,https://chgiki.ru/abitur/priemnaya-kampaniya-na-2022-2023-uchebnyy-god/bachelor/
62,ВИВТ - АНОО ВО,Воронежская область,Воронежский институт высоких технологий - автономная некоммерческая образовательная организация высшего образования,https://vivt.ru/,https://vivt.ru/vo/bachelor/is-z-is
64,"ГОВПО ""ДОНЕЦКИЙ НАЦИОНАЛЬНЫЙ УНИВЕРСИТЕТ ЭКОНОМИКИ И ТОРГОВЛИ ИМЕНИ МИХАИЛА ТУГАН-БАРАНОВСКОГО""","образовательные учреждения, находящиеся за пределами Российской Федерации","ГОСУДАРСТВЕННАЯ ОРГАНИЗАЦИЯ ВЫСШЕГО ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ ""ДОНЕЦКИЙ НАЦИОНАЛЬНЫЙ УНИВЕРСИТЕТ ЭКОНОМИКИ И ТОРГОВЛИ ИМЕНИ МИХАИЛА ТУГАН-БАРАНОВСКОГО""",https://donnuet.education/,
65,ВОЛГОГРАДСКАЯ ГОСУДАРСТВЕННАЯ КОНСЕРВАТОРИЯ ИМ. П.А. СЕРЕБРЯКОВА,Волгоградская область,ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ «ВОЛГОГРАДСКАЯ ГОСУДАРСТВЕННАЯ КОНСЕРВАТОРИЯ ИМЕНИ П.А. СЕРЕБРЯКОВА»,http://new.serebryakovka.ru/,https://new.serebryakovka.ru/abiturientu/priyom-po-vpo/
66,"ГОУ ВПО ЛНР ""ЛГУ им. В. ДАЛЯ""","образовательные учреждения, находящиеся за пределами Российской Федерации","ГОСУДАРСТВЕННОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ЛУГАНСКОЙ НАРОДНОЙ РЕСПУБЛИКИ ""ЛУГАНСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ ИМЕНИ ВЛАДИМИРА ДАЛЯ""",http://daluniver.ru/,https://daluniver.ru/struktura/fakultety/fakultet-kompyuternykh-sistem-i-informatsionnykh-tekhnologij/kafedra-informatsionnykh-i-upravlyayushchikh-sistem.html
68,ГОУВПО ДОННТУ,"образовательные учреждения, находящиеся за пределами Российской Федерации",ГОСУДАРСТВЕННОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ «ДОНЕЦКИЙ НАЦИОНАЛЬНЫЙ ТЕХНИЧЕСКИЙ УНИВЕРСИТЕТ»,https://donntu.ru/,https://donntu.ru/fisp
70,"ГУ ЛНР ""ЛАВД ИМ. Э.А. ДИДОРЕНКО""",Луганская Народная Республика,"ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ЛУГАНСКОЙ НАРОДНОЙ РЕСПУБЛИКИ ""ЛУГАНСКАЯ АКАДЕМИЯ ВНУТРЕННИХ ДЕЛ ИМЕНИ Э.А.ДИДОРЕНКО""",https://lavd.su/,https://lavd.su/
71,ГУ ЛНР «ЛГМУ ИМ. СВЯТИТЕЛЯ ЛУКИ»,"образовательные учреждения, находящиеся за пределами Российской Федерации",ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ЛУГАНСКОЙ НАРОДНОЙ РЕСПУБЛИКИ «ЛУГАНСКИЙ ГОСУДАРСТВЕННЫЙ МЕДИЦИНСКИЙ УНИВЕРСИТЕТ ИМЕНИ СВЯТИТЕЛЯ ЛУКИ»,http://www.lgmu.ru/,http://www.lgmu.ru/docs/science/aspirant/ПОРЯДОК_разработки_программ_аспирантуры_ФГТ.pdf
72,"МГУУ Правительства Москвы, Университет Правительства Москвы",г. Москва,Государственное автономное образовательное учреждение высшего образования «Московский городской университет управления Правительства Москвы имени Ю.М. Лужкова»,https://mguu.ru/,https://mguu.ru/wp-content/uploads/2015/10/Informatika8.pdf
73,ГАОУ ВО ЛО «ЛГУ им. А.С. Пушкина»,г. Санкт-Петербург,Государственное автономное образовательное учреждение высшего образования Ленинградской области «Ленинградский государственный университет имени А.С. Пушкина»,http://lengu.ru/,https://lengu.ru/fakultety/fakultet-matematiki-i-informatiki
74,ГАОУ ВО МГПУ,г. Москва,Государственное автономное образовательное учреждение высшего образования города Москвы «Московский городской педагогический университет»,https://www.mgpu.ru/,https://www.mgpu.ru/programmy-professionalnogo-obucheniya/
75,ГАОУ ВО МГУСиТ,г. Москва,Государственное автономное образовательное учреждение высшего образования города Москвы «Московский государственный университет спорта и туризма»,https://mgusit.mossport.ru/,https://mgusit.mossport.ru/sveden/objects/
76,"ГБОУ ВО «БАГСУ», ГБОУ ВО «Башкирская академия государственной службы и управления при Главе Республики Башкортостан»",Республика Башкортостан,Государственное бюджетное образовательное учреждение высшего образования «Башкирская академия государственной службы и управления при Главе Республики Башкортостан»,https://bagsurb.ru/,https://eo.bagsurb.ru/course_list/index.html
77,Белгородский государственный институт искусств и культуры (БГИИК),Белгородская область,Государственное бюджетное образовательное учреждение высшего образования «Белгородский государственный институт искусств и культуры»,https://bgiik.ru/,https://bgiik.ru/2575
78,ГБОУ ВО ВШМ РС (Я) (институт) им. В.А. Босикова,Республика Саха (Якутия),Государственное бюджетное образовательное учреждение высшего образования «Высшая школа музыки Республики Саха (Якутия)  (институт) имени В.А. Босикова»,https://vschoolmus.ru/,
79,"ГБОУ ВО НГИЭУ,  Княгининский университет",Нижегородская область,Государственное бюджетное образовательное учреждение высшего образования «Нижегородский государственный инженерно-экономический университет»,https://ngieu.ru/,https://ngieu.ru/bac-inform/
80,ГБОУВО РК КИПУ имени Февзи Якубова,,Государственное бюджетное образовательное учреждение высшего образования Республики Крым «Крымский инженерно - педагогический университет имени Февзи Якубова»,http://kipu-rc.ru/,https://ipk.kipu-rc.ru/eios
81,"Крымский университет культуры, искусств и туризма",,"Государственное бюджетное образовательное учреждение высшего образования Республики Крым «Крымский университет культуры, искусств и туризма»",https://kukiit.ru/,https://kukiit.ru/sveden/education/informatsiya-po-obrazovatelnym-programmam-volume/
82,Московский государственный институт музыки имени А.Г. Шнитке,г. Москва,Государственное бюджетное образовательное учреждение высшего образования города Москвы «Московский государственный институт музыки имени А.Г. Шнитке»,https://www.schnittke-mgim.ru/,http://www.schnittke-mgim.ru/science/NID/
83,ГБПОУ г. Москвы «Московская театральная школа Олега Табакова»,г. Москва,Государственное бюджетное профессиональное образовательное учреждение города Москвы «Московская театральная школа Олега Табакова при Государственном бюджетном учреждении культуры города Москвы «Московский театр Олега Табакова»,https://www.tabakovschool.ru/,http://www.tabakovschool.ru/upload/files/2023/mm/Методические материалы по дисциплине Информационные технологии в профессиональной деятельности.pdf
84,Академия госслужбы,Курская область,Государственное образовательное автономное учреждение высшего образования Курской области «Курская академия государственной и муниципальной службы»,https://kagms.ru/,https://kagms.ru/sveden/files/13_RP_Informatika_oz.pdf
85,,"образовательные учреждения, находящиеся за пределами Российской Федерации",Государственное образовательное учреждение «Приднестровский государственный университет им. Т.Г. Шевченко»,http://spsu.ru/,http://spsu.ru/university/struct/kafedra-programmnogo-obespecheniya-vychislitel-noj-tekhniki
86,КРСУ,"образовательные учреждения, находящиеся за пределами Российской Федерации",Государственное образовательное учреждение высшего профессионального образования Кыргызско-Российский Славянский университет имени первого Президента Российской Федерации Б.Н. Ельцина,https://www.krsu.edu.kg/,https://www.krsu.edu.kg/educational_and_methodical_office_of_digital_technologies_in_education
87,"Российско-Армянский (Славянский) университет, РАУ","образовательные учреждения, находящиеся за пределами Российской Федерации",Государственное образовательное учреждение высшего профессионального образования Российско-Армянский (Славянский) университет,https://rau.am/,https://program.rau.am/sveden/files/Prog_Inform_19.07.2023(19).pdf
88,МБОУ ВО ЕАСИ,Свердловская область,Муниципальное бюджетное образовательное учреждение высшего образования «Екатеринбургская академия современного искусства» (институт),https://еаси.екатеринбург.рф/,
89,,Республика Татарстан (Татарстан),Мусульманская религиозная организация духовная образовательная организация высшего образования  «Болгарская исламская академия»,https://bolgar.academy/,https://bolgar.academy/uploads/files/2021/02/17/rpp_bia_b2v04_1613569482.pdf
90,НАН ЧОУ ВО Академия ИМСИТ,Краснодарский край,Негосударственное аккредитованное некоммерческое частное образовательное учреждение высшего образования «Академия маркетинга и социально-информационных технологий - ИМСИТ» (г. Краснодар),https://imsit.ru/,https://imsit.ru/sveden/files/RP_PM.01_Razrabotka_programmnyx_moduley_programmnogo_obespecheniya_dlya_kompyyuternyx_sistem.pdf
91,НОУ ВО «Институт театрального искусства им. П.М. Ершова»,г. Москва,Негосударственное образовательное учреждение высшего образования «Институт театрального искусства им. П.М. Ершова»,https://artershov.ru/,https://artershov.ru/sveden.old/struct/polozhenie-ob-uchebnom-otdele/
92,"НОУ ВО «Институт экономики и правоведения (г. Назрань)», ИЭиП",Республика Ингушетия,Негосударственное образовательное учреждение высшего образования «Институт экономики и правоведения (г. Назрань)»,http://institut-nazran.ru/,https://institut-nazran.ru/wp-content/uploads/2020/03/polozhenie-po-opop_1.pdf
93,НОУ ВО «Московский институт юриспруденции»,г. Москва,Негосударственное образовательное учреждение высшего образования «Московский институт юриспруденции»,https://miyu.ru/,https://miyu.ru/ob-institute/
94,НОУ ВО «МСПИ»,г. Москва,Негосударственное образовательное учреждение высшего образования «Московский социально-педагогический институт»,https://mspi.edu.ru/,https://mspi.edu.ru/faculty/kpsp/osn_prog/
95,"НОУ ВО РЭШ, Российская экономическая школа, РЭШ",г. Москва,Негосударственное образовательное учреждение высшего образования «Российская экономическая школа» (институт),https://www.nes.ru/,https://www.nes.ru/files/mae/academic program/opop-mae-2019.pdf
96,Санкт-Петербургский Гуманитарный университет профсоюзов; СПбГУП,г. Санкт-Петербург,Негосударственное образовательное учреждение высшего профессионального образования «Санкт-Петербургский Гуманитарный университет профсоюзов»,https://www.gup.ru/,https://www.gup.ru/uni/structure/faculties/econ_fac/structure/kaf_inf/
97,НОЧУ ВО «МУППИ»,г. Москва,"Негосударственное образовательное частное учреждение высшего образования ""Международный университет психолого-педагогических инноваций""",https://www.muppi.ru/,https://www.muppi.ru/docs/ido/povysh-qualif/diagnostika-i-preodolenie-onr/Программа.pdf
98,"НОЧУ ВО ""МИИУЭП""",г. Москва,"Негосударственное образовательное частное учреждение высшего образования «Международный институт информатики, управления, экономики и права в г. Москве»",https://miiimel.ru/,https://miiimel.ru/wp-content/uploads/2022/02/prilozhenie-166.-k-prikazu-2.2-k-polozheniju-o-vychislit.-seti.pdf
99,НОЧУ ВО «Московский институт психоанализа»,г. Москва,Негосударственное образовательное частное учреждение высшего образования «Московский институт психоанализа»,https://inpsycho.ru/,https://inpsycho.ru/sveden/files/Perecheny_licenzionnogo_programmnogo_obespecheniya.pdf
100,Университет «Синергия»,г. Москва,Негосударственное образовательное частное учреждение высшего образования «Московский финансово-промышленный университет «Синергия»,https://synergy.ru/,https://synergy.ru/akademiya/programming/arxitektura_programmnogo_obespecheniya
101,НОЧУ ВО «МЭИ»,г. Москва,Негосударственное образовательное частное учреждение высшего образования «Московский экономический институт»,https://noumei.ru/,https://www.noumei.ru/sites/default/files/kcfinder/files/sveden/education/38.03.01/Metod_38.03.01_GIA_26.08.2019.pdf
102,НЧНОУ ВО «АГСИ»,Краснодарский край,Негосударственное частное некоммерческое образовательное учреждение высшего образования «Армавирский гуманитарно-социальный институт»,https://agsi.ru/,https://agsi.ru/sveden/files/B1.V.13_Reglamentaciya_i_normirovanie_truda.pdf
103,НЧОУ ВО АЛСИ,Краснодарский край,Негосударственное частное образовательное учреждение высшего образования «Армавирский лингвистический социальный институт»,http://alsivuz.ru/,http://alsivuz.ru/UserFiles/ugolovnyy-process_1.pdf
105,НЧОУ ВО «ТУ УГМК»,Свердловская область,Негосударственное частное образовательное учреждение высшего образования «Технический университет УГМК»,https://tu-ugmk.com/,https://tu-ugmk.com/study/corporate/proizvodstvo/avtomatizatsia/programmirovanie-plk-siemens-simatic-s7-1200-v-tia-portal-bazovyy-kurs/
106,Миссионерский институт,Свердловская область,Негосударственное частное учреждение - образовательная организация высшего образования «Миссионерский институт»,https://uralsky-missioner.ru/,https://uralsky-missioner.ru/wp-content/uploads/2022/09/spravka-ob-mto-2023.pdf
107,ОАНО ВО «ВУиТ»,Самарская область,Образовательная автономная некоммерческая организация высшего образования «Волжский университет имени В.Н. Татищева» (институт),http://vuit.ru/,http://vuit.ru/faculties/spo/media/soft.pdf
